dataset,node,epsilon,min_samples,id,precision,recall,fscore
BGP_testbed_3,leaf1,10.0,12,5071,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf2,10.0,12,5072,1.0,0.25,0.625
BGP_testbed_3,leaf3,10.0,12,5073,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf5,10.0,12,5074,1.0,0.25,0.625
BGP_testbed_3,leaf6,10.0,12,5075,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf7,10.0,12,5076,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf8,10.0,12,5077,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine1,10.0,12,5078,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine2,10.0,12,5079,1.0,0.75,0.9375
BGP_testbed_3,spine3,10.0,12,5080,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine4,10.0,12,5081,1.0,0.88,0.9734513274336285
BGP_testbed_2,leaf1,10.0,14,5082,1.0,0.57,0.8689024390243902
BGP_testbed_2,leaf2,10.0,14,5083,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf3,10.0,14,5084,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf5,10.0,14,5085,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf6,10.0,14,5086,1.0,0.57,0.8689024390243902
BGP_testbed_2,leaf7,10.0,14,5087,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf8,10.0,14,5088,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine1,10.0,14,5089,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine2,10.0,14,5090,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine3,10.0,14,5091,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine4,10.0,14,5092,1.0,0.43,0.7904411764705883
BGP_testbed_3,leaf1,10.0,14,5093,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf2,10.0,14,5094,1.0,0.25,0.625
BGP_testbed_3,leaf3,10.0,14,5095,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf5,10.0,14,5096,1.0,0.38,0.753968253968254
