dataset,node,n_neighbors,leaf_size,contamination,id,precision,recall,fscore
BGP_testbed_3,leaf5,1,30,0.061,278,0.73,1.0,0.7716701902748413
BGP_testbed_3,leaf6,1,30,0.061,279,0.73,1.0,0.7716701902748413
BGP_testbed_3,leaf7,1,30,0.061,280,1.0,1.0,1.0
BGP_testbed_3,leaf8,1,30,0.061,281,0.89,1.0,0.9100204498977507
BGP_testbed_3,spine1,1,30,0.061,282,1.0,1.0,1.0
BGP_testbed_3,spine2,1,30,0.061,283,0.89,1.0,0.9100204498977507
BGP_testbed_3,spine3,1,30,0.061,284,1.0,1.0,1.0
BGP_testbed_3,spine4,1,30,0.061,285,0.78,0.88,0.798139534883721
BGP_testbed_2,leaf1,1,30,0.066,286,0.58,1.0,0.6331877729257641
BGP_testbed_2,leaf2,1,30,0.066,287,0.58,1.0,0.6331877729257641
BGP_testbed_2,leaf3,1,30,0.066,288,0.64,1.0,0.6896551724137931
BGP_testbed_2,leaf5,1,30,0.066,289,0.39,1.0,0.4441913439635536
BGP_testbed_2,leaf6,1,30,0.066,290,0.7,1.0,0.7446808510638298
BGP_testbed_2,leaf7,1,30,0.066,291,0.64,1.0,0.6896551724137931
BGP_testbed_2,leaf8,1,30,0.066,292,0.44,1.0,0.4954954954954955
BGP_testbed_2,spine1,1,30,0.066,293,0.47,1.0,0.5257270693512304
BGP_testbed_2,spine2,1,30,0.066,294,0.78,1.0,0.8158995815899582
BGP_testbed_2,spine3,1,30,0.066,295,0.64,1.0,0.6896551724137931
BGP_testbed_2,spine4,1,30,0.066,296,0.64,1.0,0.6896551724137931
BGP_testbed_3,leaf1,1,30,0.066,297,0.73,1.0,0.7716701902748413
BGP_testbed_3,leaf2,1,30,0.066,298,0.8,1.0,0.8333333333333334
BGP_testbed_3,leaf3,1,30,0.066,299,0.73,1.0,0.7716701902748413
BGP_testbed_3,leaf5,1,30,0.066,300,0.73,1.0,0.7716701902748413
BGP_testbed_3,leaf6,1,30,0.066,301,0.67,1.0,0.7173447537473233
BGP_testbed_3,leaf7,1,30,0.066,302,0.8,1.0,0.8333333333333334
BGP_testbed_3,leaf8,1,30,0.066,303,0.8,1.0,0.8333333333333334
BGP_testbed_3,spine1,1,30,0.066,304,1.0,1.0,1.0
BGP_testbed_3,spine2,1,30,0.066,305,0.89,1.0,0.9100204498977507
BGP_testbed_3,spine3,1,30,0.066,306,1.0,1.0,1.0
BGP_testbed_3,spine4,1,30,0.066,307,0.78,0.88,0.798139534883721
BGP_testbed_2,leaf1,1,30,0.07100000000000001,308,0.58,1.0,0.6331877729257641
BGP_testbed_2,leaf2,1,30,0.07100000000000001,309,0.5,1.0,0.5555555555555556
BGP_testbed_2,leaf3,1,30,0.07100000000000001,310,0.58,1.0,0.6331877729257641
BGP_testbed_2,leaf5,1,30,0.07100000000000001,311,0.35,1.0,0.40229885057471265
BGP_testbed_2,leaf6,1,30,0.07100000000000001,312,0.64,1.0,0.6896551724137931
BGP_testbed_2,leaf7,1,30,0.07100000000000001,313,0.64,1.0,0.6896551724137931
BGP_testbed_2,leaf8,1,30,0.07100000000000001,314,0.41,1.0,0.4648526077097505
BGP_testbed_2,spine1,1,30,0.07100000000000001,315,0.44,1.0,0.4954954954954955
BGP_testbed_2,spine2,1,30,0.07100000000000001,316,0.7,1.0,0.7446808510638298
BGP_testbed_2,spine3,1,30,0.07100000000000001,317,0.54,1.0,0.5947136563876653
BGP_testbed_2,spine4,1,30,0.07100000000000001,318,0.58,1.0,0.6331877729257641
BGP_testbed_3,leaf1,1,30,0.07100000000000001,319,0.73,1.0,0.7716701902748413
BGP_testbed_3,leaf2,1,30,0.07100000000000001,320,0.8,1.0,0.8333333333333334
BGP_testbed_3,leaf3,1,30,0.07100000000000001,321,0.67,1.0,0.7173447537473233
BGP_testbed_3,leaf5,1,30,0.07100000000000001,322,0.67,1.0,0.7173447537473233
BGP_testbed_3,leaf6,1,30,0.07100000000000001,323,0.67,1.0,0.7173447537473233
BGP_testbed_3,leaf7,1,30,0.07100000000000001,324,0.73,1.0,0.7716701902748413
BGP_testbed_3,leaf8,1,30,0.07100000000000001,325,0.73,1.0,0.7716701902748413
BGP_testbed_3,spine1,1,30,0.07100000000000001,326,0.8,1.0,0.8333333333333334
BGP_testbed_3,spine2,1,30,0.07100000000000001,327,0.89,1.0,0.9100204498977507
BGP_testbed_3,spine3,1,30,0.07100000000000001,328,1.0,1.0,1.0
BGP_testbed_3,spine4,1,30,0.07100000000000001,329,0.8,1.0,0.8333333333333334
BGP_testbed_2,leaf1,1,30,0.076,330,0.54,1.0,0.5947136563876653
