dataset,node,window,R,k,id,precision,recall,fscore
BGP_testbed_3,leaf6,10,2.0,5,257,0.11,1.0,0.13381995133819952
BGP_testbed_3,leaf7,10,2.0,5,258,0.11,1.0,0.13381995133819952
BGP_testbed_3,leaf8,10,2.0,5,259,0.11,1.0,0.13381995133819952
BGP_testbed_3,spine1,10,2.0,5,260,0.12,1.0,0.14563106796116504
BGP_testbed_3,spine2,10,2.0,5,261,0.1,1.0,0.12195121951219513
BGP_testbed_3,spine3,10,2.0,5,262,0.12,1.0,0.14563106796116504
BGP_testbed_3,spine4,10,2.0,5,263,0.1,1.0,0.12195121951219513
BGP_testbed_2,leaf1,10,2.0,6,264,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf2,10,2.0,6,265,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf3,10,2.0,6,266,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf5,10,2.0,6,267,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf6,10,2.0,6,268,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf7,10,2.0,6,269,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf8,10,2.0,6,270,0.05,1.0,0.0617283950617284
BGP_testbed_2,spine1,10,2.0,6,271,0.04,1.0,0.04950495049504951
BGP_testbed_2,spine2,10,2.0,6,272,0.04,1.0,0.04950495049504951
BGP_testbed_2,spine3,10,2.0,6,273,0.05,1.0,0.0617283950617284
BGP_testbed_2,spine4,10,2.0,6,274,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf1,10,2.0,6,275,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf2,10,2.0,6,276,0.1,1.0,0.12195121951219513
BGP_testbed_3,leaf3,10,2.0,6,277,0.07,1.0,0.085995085995086
BGP_testbed_3,leaf5,10,2.0,6,278,0.12,1.0,0.14563106796116504
BGP_testbed_3,leaf6,10,2.0,6,279,0.11,1.0,0.13381995133819952
BGP_testbed_3,leaf7,10,2.0,6,280,0.11,1.0,0.13381995133819952
BGP_testbed_3,leaf8,10,2.0,6,281,0.09,1.0,0.1100244498777506
BGP_testbed_3,spine1,10,2.0,6,282,0.12,1.0,0.14563106796116504
BGP_testbed_3,spine2,10,2.0,6,283,0.09,1.0,0.1100244498777506
BGP_testbed_3,spine3,10,2.0,6,284,0.1,1.0,0.12195121951219513
BGP_testbed_3,spine4,10,2.0,6,285,0.09,1.0,0.1100244498777506
BGP_testbed_2,leaf1,10,2.0,7,286,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf2,10,2.0,7,287,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf3,10,2.0,7,288,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf5,10,2.0,7,289,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf6,10,2.0,7,290,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf7,10,2.0,7,291,0.04,1.0,0.04950495049504951
BGP_testbed_2,leaf8,10,2.0,7,292,0.04,1.0,0.04950495049504951
BGP_testbed_2,spine1,10,2.0,7,293,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine2,10,2.0,7,294,0.04,1.0,0.04950495049504951
BGP_testbed_2,spine3,10,2.0,7,295,0.04,1.0,0.04950495049504951
BGP_testbed_2,spine4,10,2.0,7,296,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf1,10,2.0,7,297,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf2,10,2.0,7,298,0.08,1.0,0.09803921568627451
BGP_testbed_3,leaf3,10,2.0,7,299,0.06,1.0,0.07389162561576355
BGP_testbed_3,leaf5,10,2.0,7,300,0.1,1.0,0.12195121951219513
BGP_testbed_3,leaf6,10,2.0,7,301,0.09,1.0,0.1100244498777506
BGP_testbed_3,leaf7,10,2.0,7,302,0.09,1.0,0.1100244498777506
BGP_testbed_3,leaf8,10,2.0,7,303,0.07,1.0,0.085995085995086
BGP_testbed_3,spine1,10,2.0,7,304,0.1,1.0,0.12195121951219513
BGP_testbed_3,spine2,10,2.0,7,305,0.08,1.0,0.09803921568627451
BGP_testbed_3,spine3,10,2.0,7,306,0.09,1.0,0.1100244498777506
BGP_testbed_3,spine4,10,2.0,7,307,0.08,1.0,0.09803921568627451
BGP_testbed_2,leaf1,10,2.0,8,308,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf2,10,2.0,8,309,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf3,10,2.0,8,310,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf5,10,2.0,8,311,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf6,10,2.0,8,312,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf7,10,2.0,8,313,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf8,10,2.0,8,314,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine1,10,2.0,8,315,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine2,10,2.0,8,316,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine3,10,2.0,8,317,0.03,1.0,0.03722084367245657
BGP_testbed_2,spine4,10,2.0,8,318,0.03,1.0,0.03722084367245657
BGP_testbed_3,leaf1,10,2.0,8,319,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf2,10,2.0,8,320,0.06,1.0,0.07389162561576355
BGP_testbed_3,leaf3,10,2.0,8,321,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf5,10,2.0,8,322,0.07,1.0,0.085995085995086
BGP_testbed_3,leaf6,10,2.0,8,323,0.06,1.0,0.07389162561576355
BGP_testbed_3,leaf7,10,2.0,8,324,0.06,1.0,0.07389162561576355
BGP_testbed_3,leaf8,10,2.0,8,325,0.05,1.0,0.0617283950617284
BGP_testbed_3,spine1,10,2.0,8,326,0.07,1.0,0.085995085995086
BGP_testbed_3,spine2,10,2.0,8,327,0.06,1.0,0.07389162561576355
BGP_testbed_3,spine3,10,2.0,8,328,0.06,1.0,0.07389162561576355
BGP_testbed_3,spine4,10,2.0,8,329,0.06,1.0,0.07389162561576355
BGP_testbed_2,leaf1,10,2.0,9,330,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf2,10,2.0,9,331,0.03,1.0,0.03722084367245657
BGP_testbed_2,leaf3,10,2.0,9,332,0.03,1.0,0.03722084367245657
